"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
1,0000337941,-,-,-,-
2,0000113688,-,-,-,-
3,0000104778,-,-,-,-
4,0000104779,-,-,-,-
5,0000177726,-,-,100,-
6,0000114742,-,-,-,-
7,0000104780,-,-,-,-
8,0000104781,-,-,-,-
9,0000213484,-,-,-,-
10,0000104782,-,-,200,-
11,0000151276,-,-,-,-
12,0000114745,-,-,-,-
13,0000113854,-,-,-,-
14,0000279302,-,-,-,-
15,0000114908,-,-,-,-
16,0000114746,-,-,-,-
17,0000113855,-,-,-,-
18,0000104783,900,-,400,-
19,0000112964,-,-,-,-
20,0000151277,-,-,-,-
21,0000114747,-,-,-,-
22,0000114748,-,-,-,-
23,0000104788,-,-,-,-
24,0000104789,-,-,-,-
25,0000287328,-,-,400,-
26,0000114751,-,-,-,-
27,0000231473,-,-,-,-
28,0000161246,-,-,400,-
29,0000104790,-,-,-,-
30,0000104791,-,-,-,-
31,0000114916,-,-,-,-
32,0000104792,-,-,-,-
33,0000114755,-,-,-,-
34,0000104793,-,-,-,-
35,0000112974,-,-,-,-
36,0000287332,-,-,-,-
37,0000112975,-,-,-,-
38,0000356831,-,-,-,-
39,0000113867,-,-,-,-
40,0000195560,-,-,-,-
41,0000356670,-,-,-,-
42,0000287335,-,-,-,-
43,0000114598,-,-,-,-
44,0000112979,-,-,-,-
45,0000279319,-,-,-,-
46,0000176699,-,-,100,-
47,0000155014,900,-,200,-
48,0000114922,-,-,-,-
49,0000114923,-,-,-,-
50,0000113870,1800,-,-,-
51,0000114924,-,-,100,-
52,0000331276,-,-,100,-
53,0000230755,-,-,-,-
54,0000222736,-,-,-,-
55,0000114925,-,-,-,-
56,0000114926,-,-,-,-
57,0000114765,-,-,-,-
58,0000113875,-,-,-,-
59,0000112985,-,-,-,-
60,0000284832,900,-,100,-
61,0000105858,-,-,-,-
62,0000284833,-,-,-,-
63,0000105859,-,-,-,-
64,0000112987,-,-,-,-
65,0000112988,450,-,-,-
66,0000177596,6000,-,200,-
67,0000319999,900,-,200,-
68,0000334116,900,-,400,-
69,0000231652,-,-,400,-
70,0000231653,-,-,-,-
71,0000105860,-,-,-,-
72,0000114932,-,-,-,-
73,0000105861,-,-,-,-
74,0000330556,-,-,400,-
75,0000105862,-,-,100,-
76,0000114772,-,-,-,-
77,0000113882,-,-,-,-
78,0000105863,-,-,-,-
79,0000230766,-,-,-,-
80,0000114775,-,-,-,-
81,0000105865,-,-,-,-
82,0000105866,-,-,-,-
83,0000339921,-,-,400,-
84,0000105867,-,-,-,-
85,0000112995,1800,-,400,-
86,0000105868,-,-,-,-
87,0000105869,-,-,100,-
88,0000113889,-,-,-,-
89,0000294485,-,-,-,-
90,0000194694,-,-,100,-
91,0000350161,-,-,-,-
92,0000106920,-,-,-,-
93,0000230770,-,-,-,-
94,0000114940,-,-,-,-
95,0000114942,-,-,-,-
96,0000222915,-,-,400,-
97,0000105871,-,-,-,-
98,0000105872,-,-,-,-
99,0000113892,-,-,-,-
100,0000105873,450,-,400,-
101,0000457702,-,-,-,-
102,0000105875,-,-,-,-
103,0000105876,-,-,-,-
104,0000105877,-,-,100,-
105,0000105878,-,-,-,-
106,0000105879,-,-,-,-
107,0000267925,-,-,-,-
108,0000195917,-,-,-,-
109,0000349578,-,-,400,-
110,0000165009,-,-,-,-
111,0000332356,-,-,-,-
112,0000105880,-,-,-,-
113,0000114790,-,-,-,-
114,0000105881,-,-,-,-
115,0000161609,-,-,-,-
