"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
1,0000149253,-,-
2,0000268534,-,-
3,0000109096,-,-
4,0000287914,1800,-
5,0000109250,-,-
6,0000103548,-,-
7,0000107693,-,-
8,0000109240,-,-
9,0000108836,-,-
10,0000291920,100,-
11,0000109069,-,-
12,0000107836,-,-
13,0000108742,-,-
14,0000330780,2500,-
15,0000103543,-,-
16,0000103551,-,-
17,0000100613,-,-
18,0000107314,-,-
19,0000107477,-,-
20,0000442098,-,-
21,0000103509,-,-
22,0000107894,425,-
23,0000103523,-,-
24,0000166191,-,-
25,0000108361,-,-
26,0000155342,-,-
27,0000100578,-,-
28,0000107402,-,-
29,0000267496,200,-
30,0000108276,-,-
31,0000108752,-,-
32,0000108682,-,-
33,0000100525,200,-
34,0000108832,-,-
35,0000107869,-,-
36,0000107846,-,-
37,0000107473,-,-
38,0000100595,-,-
39,0000459624,200,-
40,0000100658,-,-
41,0000108521,-,-
42,0000100560,-,-
43,0000107493,-,-
44,0000107548,-,-
45,0000107277,-,-
46,0000107500,100,-
47,0000107553,-,-
48,0000285167,-,-
49,0000103494,-,-
50,0000281136,-,-
51,0000107325,-,-
52,0000106909,-,-
53,0000100866,-,-
54,0000107722,-,-
55,0000107060,-,-
56,0000100708,-,-
57,0000280909,-,-
58,0000100577,-,-
59,0000100629,100,-
60,0000100880,425,-
61,0000195842,-,-
62,0000107756,-,-
63,0000108410,200,-
64,0000107564,-,-
65,0000326539,100,-
66,0000214013,-,-
67,0000163232,-,-
68,0000108762,-,-
69,0000108564,-,-
70,0000108220,-,-
71,0000446910,425,-
72,0000356356,-,-
73,0000271917,-,-
74,0000107833,-,-
75,0000285173,-,-
76,0000103512,425,-
77,0000106964,-,-
78,0000285387,100,-
79,0000103545,-,-
80,0000157434,-,-
81,0000108870,100,-
82,0000100886,-,-
83,0000100874,-,-
84,0000109015,-,-
85,0000214686,-,-
86,0000108999,-,-
87,0000100582,-,-
88,0000109176,200,-
89,0000108583,-,-
90,0000108236,-,-
91,0000178069,-,-
92,0000271173,-,-
93,0000109256,100,-
94,0000107701,-,-
95,0000100702,-,-
96,0000292156,-,-
97,0000287171,-,-
98,0000178070,-,-
99,0000107499,425,-
100,0000107382,-,-
101,0000107412,-,-
102,0000100531,200,-
103,0000100864,-,-
104,0000259348,-,-
105,0000349341,-,-
106,0000154414,-,-
107,0000178125,-,-
108,0000456845,-,-
109,0000107514,-,-
110,0000322956,1150,-
111,0000108809,-,-
112,0000337389,425,-
113,0000107294,-,-
114,0000100868,-,-
115,0000328556,200,-
116,0000108021,-,-
117,0000107714,-,-
118,0000107556,-,-
119,0000107063,-,-
120,0000220677,-,-
121,0000103488,-,-
122,0000259597,-,-
123,0000150001,-,-
124,0000359938,-,-
125,0000103511,-,-
126,0000108807,-,-
127,0000198867,-,-
128,0000108093,-,-
129,0000100665,100,-
130,0000107860,2500,-
131,0000100682,-,-
132,0000107533,-,-
133,0000165017,-,-
134,0000100597,-,-
135,0000230428,425,-
136,0000109126,-,-
137,0000100546,-,-
138,0000100655,2500,-
139,0000229540,200,-
140,0000103538,5400,-
141,0000108203,-,-
142,0000109152,-,-
143,0000108725,100,-
144,0000100645,-,-
145,0000107886,-,-
146,0000109125,-,-
147,0000106967,100,-
148,0000264567,825,-
149,0000115963,-,-
150,0000103564,825,-
151,0000100700,-,-
152,0000107229,-,-
153,0000170874,-,-
154,0000107664,-,-
155,0000100616,-,-
156,0000108967,-,-
157,0000100598,-,-
158,0000107986,200,-
159,0000108165,-,-
160,0000100571,-,-
161,0000108872,-,-
162,0000107676,-,-
163,0000107882,-,-
164,0000100867,-,-
165,0000107796,-,-
166,0000107611,-,-
167,0000108885,825,-
168,0000100709,-,-
169,0000107226,-,-
170,0000111143,-,-
171,0000156881,-,-
172,0000109071,-,-
173,0000108431,-,-
174,0000109216,-,-
175,0000107719,-,-
176,0000163106,1800,-
177,0000100857,-,-
178,0000107661,-,-
179,0000107696,-,-
180,0000115402,-,-
181,0000298899,825,-
182,0000103540,425,-
183,0000108776,-,-
184,0000115958,-,-
185,0000108015,-,-
186,0000107728,-,-
187,0000468945,1800,-
188,0000108909,-,-
189,0000343664,-,-
190,0000277507,-,-
191,0000108679,-,-
192,0000100574,-,-
193,0000107881,-,-
194,0000100529,-,-
195,0000109236,-,-
196,0000107323,3900,-
197,0000108520,-,-
198,0000107266,-,-
199,0000107333,-,-
200,0000107865,-,-
201,0000107511,-,-
202,0000108947,-,-
203,0000100630,-,-
204,0000111162,-,-
205,0000109073,-,-
206,0000108820,-,-
207,0000107763,-,-
208,0000107334,-,-
209,0000108833,-,-
210,0000107784,-,-
211,0000287083,-,-
212,0000214604,100,-
213,0000115965,-,-
214,0000100714,200,-
215,0000346365,425,-
216,0000229539,825,-
217,0000107845,-,-
218,0000357899,-,-
219,0000107580,-,-
220,0000107919,-,-
221,0000108422,-,-
222,0000100690,-,-
223,0000107135,-,-
224,0000170863,-,-
225,0000100540,-,-
226,0000103495,100,-
227,0000107059,-,-
228,0000108190,-,-
229,0000199242,-,-
230,0000108741,-,-
231,0000346881,-,-
232,0000322746,-,-
233,0000107543,-,-
234,0000108452,-,-
235,0000361713,100,-
236,0000107598,-,-
237,0000109172,-,-
238,0000100542,-,-
239,0000107831,-,-
